i,w,x,w1,x1,DIF
4,de,ADP,de,ADP,True
5,os,DET,os,DET,True
6,anos,NOUN,anos,NOUN,True
7,50,NUM,50,NUM,True
8,",",PUNCT,",",PUNCT,True
9,a,DET,a,DET,True
10,NASA,PROPN,NASA,PROPN,True
11,necessitava,VERB,necessitava,VERB,True
12,de,ADP,de,ADP,True
13,geradores,NOUN,geradores,NOUN,True
14,de,ADP,de,ADP,True
15,energia,NOUN,energia,NOUN,True
16,para,ADP,para,ADP,True
17,missões,NOUN,missões,NOUN,True
18,espaciais,ADJ,espaciais,ADJ,True
19,",",PUNCT,",",PUNCT,True
20,em,ADP,em,ADP,True
21,especial,ADJ,especial,NOUN,False
22,",",PUNCT,",",PUNCT,True
23,o,DET,o,DET,True
24,projeto,NOUN,projeto,NOUN,True
25,Apollo,PROPN,Apollo,PROPN,True
26,e,CCONJ,e,CCONJ,True
27,as,DET,as,DET,True
28,missões,NOUN,missões,NOUN,True
29,Space,PROPN,Space,PROPN,True
30,Shuttle,PROPN,Shuttle,PROPN,True
31,fizeram,VERB,fizeram,VERB,True
32,uso,NOUN,uso,NOUN,True
33,de,ADP,de,ADP,True
34,células,NOUN,células,NOUN,True
35,a,ADP,a,ADP,True
36,combustível,NOUN,combustível,NOUN,True
37,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,As,DET,As,DET,True
2,células,NOUN,células,NOUN,True
3,a,ADP,a,ADP,True
4,combustível,NOUN,combustível,NOUN,True
5,(,PUNCT,(,PUNCT,True
6,Figura,PROPN,Figura,PROPN,True
7,1,PROPN,1,PROPN,True
8,),PUNCT,),PUNCT,True
9,são,AUX,são,AUX,True
10,unidades,NOUN,unidades,NOUN,True
11,que,PRON,que,PRON,True
12,convertem,VERB,convertem,VERB,True
13,energia,NOUN,energia,NOUN,True
14,química,ADJ,química,ADJ,True
15,(,PUNCT,(,PUNCT,True
16,contida,VERB,contida,VERB,True
17,em,ADP,em,ADP,True
18,um,DET,um,DET,True
19,oxidante,NOUN,oxidante,NOUN,True
20,e,CCONJ,e,CCONJ,True
21,um,DET,um,DET,True
22,combustível,NOUN,combustível,NOUN,True
23,),PUNCT,),PUNCT,True
24,diretamente,ADV,diretamente,ADV,True
25,em,ADP,em,ADP,True
26,energia,NOUN,energia,NOUN,True
27,elétrica,ADJ,elétrica,ADJ,True
28,e,CCONJ,e,CCONJ,True
29,térmica,ADJ,térmica,ADJ,True
30,",",PUNCT,",",PUNCT,True
31,com,ADP,com,ADP,True
32,a,DET,a,DET,True
33,possibilidade,NOUN,possibilidade,NOUN,True
34,de,ADP,de,ADP,True
35,operação,NOUN,operação,NOUN,True
36,contínua,ADJ,contínua,ADJ,True
37,graças,ADV,graças,ADV,True
38,a,DET,a,DET,True
39,alimentação,NOUN,alimentação,NOUN,True
40,constante,ADJ,constante,ADJ,True
41,de,ADP,de,ADP,True
42,um,DET,um,DET,True
43,combustível,NOUN,combustível,NOUN,True
44,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,A,DET,A,DET,True
2,conversão,NOUN,conversão,NOUN,True
3,ocorre,VERB,ocorre,VERB,True
4,por,ADP,por,ADP,True
5,meio,NOUN,meio,NOUN,True
6,de,ADP,de,ADP,True
7,duas,NUM,duas,NUM,True
8,reações,NOUN,reações,NOUN,True
9,eletroquímicas,ADJ,eletroquímicas,ADJ,True
10,em,ADP,em,ADP,True
11,dois,NUM,dois,NUM,True
12,eletrodos,NOUN,eletrodos,NOUN,True
13,separados,VERB,separados,VERB,True
14,por,ADP,por,ADP,True
15,um,DET,um,DET,True
16,eletrólito,NOUN,eletrólito,NOUN,True
17,apropriado,VERB,apropriado,VERB,True
18,:,PUNCT,:,PUNCT,True
19,a,DET,a,DET,True
20,oxidação,NOUN,oxidação,NOUN,True
21,de,ADP,de,ADP,True
22,um,DET,um,DET,True
23,combustível,NOUN,combustível,NOUN,True
24-25,no,_,no,_,True
24,em,ADP,em,ADP,True
25,o,DET,o,DET,True
26,anodo,NOUN,anodo,NOUN,True
27,e,CCONJ,e,CCONJ,True
28,a,DET,a,DET,True
29,redução,NOUN,redução,NOUN,True
30,de,ADP,de,ADP,True
31,um,DET,um,DET,True
32,oxidante,NOUN,oxidante,NOUN,True
33-34,no,_,no,_,True
33,em,ADP,em,ADP,True
34,o,DET,o,DET,True
35,catodo,NOUN,catodo,NOUN,True
36,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Em,ADP,Em,ADP,True
2,uma,DET,uma,DET,True
3,célula,NOUN,célula,NOUN,True
4,a,ADP,a,ADP,True
5,combustível,NOUN,combustível,NOUN,True
6,operando,VERB,operando,VERB,True
7,com,ADP,com,ADP,True
8,hidrogênio,NOUN,hidrogênio,NOUN,True
9,como,ADP,como,ADP,True
10,combustível,NOUN,combustível,NOUN,True
11,e,CCONJ,e,CCONJ,True
12,o,DET,o,DET,True
13,oxigênio,NOUN,oxigênio,NOUN,True
14,como,ADP,como,ADP,True
15,oxidante,NOUN,oxidante,NOUN,True
16,",",PUNCT,",",PUNCT,True
17,ocorre,VERB,ocorre,VERB,True
18,a,DET,a,DET,True
19,formação,NOUN,formação,NOUN,True
20,de,ADP,de,ADP,True
21,água,NOUN,água,NOUN,True
22,",",PUNCT,",",PUNCT,True
23,além,ADV,além,ADV,True
24-25,da,_,da,_,True
24,de,ADP,de,ADP,True
25,a,DET,a,DET,True
26,liberação,NOUN,liberação,NOUN,True
27,de,ADP,de,ADP,True
28,elétrons,NOUN,elétrons,NOUN,True
29,",",PUNCT,",",PUNCT,True
30,que,PRON,que,PRON,True
31,geram,VERB,geram,VERB,True
32,uma,DET,uma,DET,True
33,corrente,NOUN,corrente,NOUN,True
34,contínua,ADJ,contínua,ADJ,True
35,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Os,DET,Os,DET,True
2,prótons,NOUN,prótons,NOUN,True
3,gerados,VERB,gerados,VERB,True
4-5,na,_,na,_,True
4,em,ADP,em,ADP,True
5,a,DET,a,DET,True
6,reação,NOUN,reação,NOUN,True
7,anódica,ADJ,anódica,ADJ,True
8,são,AUX,são,AUX,True
9,conduzidos,VERB,conduzidos,VERB,True
10-11,pelo,_,pelo,_,True
10,por,ADP,por,ADP,True
11,o,DET,o,DET,True
12,eletrólito,NOUN,eletrólito,NOUN,True
13,até,ADP,até,ADP,True
14,o,DET,o,DET,True
15,catodo,NOUN,catodo,NOUN,True
16,",",PUNCT,",",PUNCT,True
17,onde,PRON,onde,PRON,True
18,participam,VERB,participam,VERB,True
19-20,da,_,da,_,True
19,de,ADP,de,ADP,True
20,a,DET,a,DET,True
21,reação,NOUN,reação,NOUN,True
22,de,ADP,de,ADP,True
23,redução,NOUN,redução,NOUN,True
24-25,do,_,do,_,True
24,de,ADP,de,ADP,True
25,o,DET,o,DET,True
26,oxigênio,NOUN,oxigênio,NOUN,True
27,(,PUNCT,(,PUNCT,True
28,O2,PROPN,O2,PROPN,True
29,),PUNCT,),PUNCT,True
30,",",PUNCT,",",PUNCT,True
31,formando,VERB,formando,VERB,True
32,água,NOUN,água,NOUN,True
33,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Assim,ADV,Assim,ADV,True
2,",",PUNCT,",",PUNCT,True
3,as,DET,as,DET,True
4,células,NOUN,células,NOUN,True
5,a,ADP,a,ADP,True
6,combustível,NOUN,combustível,NOUN,True
7,",",PUNCT,",",PUNCT,True
8,mesmo,ADV,mesmo,ADV,True
9,e,CCONJ,e,CCONJ,True
10,especialmente,ADV,especialmente,ADV,True
11,em,ADP,em,ADP,True
12,baixas,ADJ,baixas,ADJ,True
13,temperaturas,NOUN,temperaturas,NOUN,True
14,",",PUNCT,",",PUNCT,True
15-16,na,_,na,_,True
15,em,ADP,em,ADP,True
16,a,DET,a,DET,True
17,prática,NOUN,prática,NOUN,True
18,",",PUNCT,",",PUNCT,True
19-20,obtêm-se,_,obtêm-se,_,True
19,obtêm,VERB,obtêm,VERB,True
20,se,PRON,se,PRON,True
21,eficiências,NOUN,eficiências,NOUN,True
22,de,ADP,de,ADP,True
23,55%,NUM,55%,NUM,True
24,a,ADP,a,ADP,True
25,60%,NUM,60%,NUM,True
26,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Existem,VERB,Existem,VERB,True
2,vários,DET,vários,DET,True
3,tipos,NOUN,tipos,NOUN,True
4,de,ADP,de,ADP,True
5,células,NOUN,células,NOUN,True
6,a,ADP,a,ADP,True
7,combustível,NOUN,combustível,NOUN,True
8,",",PUNCT,",",PUNCT,True
9,classificadas,VERB,classificadas,VERB,True
10,segundo,ADP,segundo,ADP,True
11,o,DET,o,DET,True
12,tipo,NOUN,tipo,NOUN,True
13,de,ADP,de,ADP,True
14,eletrólito,NOUN,eletrólito,NOUN,True
15,que,PRON,que,PRON,True
16,utilizam,VERB,utilizam,VERB,True
17,e,CCONJ,e,CCONJ,True
18,",",PUNCT,",",PUNCT,True
19,conseqüentemente,ADV,conseqüentemente,ADV,True
20,",",PUNCT,",",PUNCT,True
21,a,DET,a,DET,True
22,sua,DET,sua,DET,True
23,temperatura,NOUN,temperatura,NOUN,True
24,de,ADP,de,ADP,True
25,operação,NOUN,operação,NOUN,True
26,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1-2,Na,_,Na,_,True
1,Em,ADP,Em,ADP,True
2,a,DET,a,DET,True
3,célula,NOUN,célula,NOUN,True
4,de,ADP,de,ADP,True
5,membrana,NOUN,membrana,NOUN,True
6,de,ADP,de,ADP,True
7,troca,NOUN,troca,NOUN,True
8,protônica,ADJ,protônica,ADJ,True
9,(,PUNCT,(,PUNCT,True
10,PEMFC,PROPN,PEMFC,PROPN,True
11,),PUNCT,),PUNCT,True
12,",",PUNCT,",",PUNCT,True
13,o,DET,o,DET,True
14,eletrólito,NOUN,eletrólito,NOUN,True
15,consiste,VERB,consiste,VERB,True
16,em,ADP,em,ADP,True
17,uma,DET,uma,DET,True
18,membrana,NOUN,membrana,NOUN,True
19,de,ADP,de,ADP,True
20,polímero,NOUN,polímero,NOUN,True
21,sólido,ADJ,sólido,ADJ,True
22,que,PRON,que,PRON,True
23,transporta,VERB,transporta,VERB,True
24,os,DET,os,DET,True
25,prótons,NOUN,prótons,NOUN,True
26,entre,ADP,entre,ADP,True
27,os,DET,os,DET,True
28,eletrodos,NOUN,eletrodos,NOUN,True
29,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,As,DET,As,DET,True
2,membranas,NOUN,membranas,NOUN,True
3,em,ADP,em,ADP,True
4,uso,NOUN,uso,NOUN,True
5-6,na,_,na,_,True
5,em,ADP,em,ADP,True
6,a,DET,a,DET,True
7,maioria,NOUN,maioria,NOUN,True
8-9,das,_,das,_,True
8,de,ADP,de,ADP,True
9,as,DET,as,DET,True
10,células,NOUN,células,NOUN,True
11,em,ADP,em,ADP,True
12,operação,NOUN,operação,NOUN,True
13,hoje,ADV,hoje,ADV,True
14,são,AUX,são,AUX,True
15,produzidas,VERB,produzidas,VERB,True
16-17,pela,_,pela,_,True
16,por,ADP,por,ADP,True
17,a,DET,a,DET,True
18,Dow,PROPN,Dow,PROPN,True
19,Chemicals,PROPN,Chemicals,PROPN,True
20,",",PUNCT,",",PUNCT,True
21-22,pela,_,pela,_,True
21,por,ADP,por,ADP,True
22,a,DET,a,DET,True
23,DuPont,PROPN,DuPont,PROPN,True
24,e,CCONJ,e,CCONJ,True
25-26,pela,_,pela,_,True
25,por,ADP,por,ADP,True
26,a,DET,a,DET,True
27,Ballard,PROPN,Ballard,PROPN,True
28,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,As,DET,As,DET,True
2,células,NOUN,células,NOUN,True
3,de,ADP,de,ADP,True
4,ácido,NOUN,ácido,NOUN,True
5,fosfórico,ADJ,fosfórico,ADJ,True
6,(,PUNCT,(,PUNCT,True
7,PAFC,PROPN,PAFC,PROPN,True
8,),PUNCT,),PUNCT,True
9,são,AUX,são,AUX,True
10,as,PRON,as,PRON,True
11,de,ADP,de,ADP,True
12,tecnologia,NOUN,tecnologia,NOUN,True
13,mais,ADV,mais,ADV,True
14,antiga,ADJ,antiga,ADJ,True
15,e,CCONJ,e,CCONJ,True
16,mais,ADV,mais,ADV,True
17,desenvolvidas,VERB,desenvolvidas,VERB,True
18,até,ADP,até,ADP,True
19,o,DET,o,DET,True
20,presente,NOUN,presente,NOUN,True
21,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Algumas,DET,Algumas,DET,True
2,centrais,NOUN,centrais,NOUN,True
3,elétricas,ADJ,elétricas,ADJ,True
4,de,ADP,de,ADP,True
5,demonstração,NOUN,demonstração,NOUN,True
6,já,ADV,já,ADV,True
7,se,PRON,se,PRON,True
8,encontram,VERB,encontram,VERB,True
9,em,ADP,em,ADP,True
10,operação,NOUN,operação,NOUN,True
11-12,no,_,no,_,True
11,em,ADP,em,ADP,True
12,o,DET,o,DET,True
13,mundo,NOUN,mundo,NOUN,True
14,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Operam,VERB,Operam,VERB,True
2,em,ADP,em,ADP,True
3,temperaturas,NOUN,temperaturas,NOUN,True
4,de,ADP,de,ADP,True
5,cerca,ADV,cerca,ADV,True
6,de,ADP,de,ADP,True
7,200oC,NOUN,200oC,NUM,False
8,",",PUNCT,",",PUNCT,True
9,não,ADV,não,ADV,True
10,sendo,AUX,sendo,AUX,True
11,adequadas,ADJ,adequadas,ADJ,True
12,para,ADP,para,ADP,True
13,utilização,NOUN,utilização,NOUN,True
14-15,do,_,do,_,True
14,de,ADP,de,ADP,True
15,o,DET,o,DET,True
16,calor,NOUN,calor,NOUN,True
17,residual,ADJ,residual,ADJ,True
18,em,ADP,em,ADP,True
19,aplicações,NOUN,aplicações,NOUN,True
20,de,ADP,de,ADP,True
21,co-geração,NOUN,co-geração,NOUN,True
22,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Podem,VERB,Podem,VERB,True
2,utilizar,VERB,utilizar,VERB,True
3,metanol,NOUN,metanol,NOUN,True
4,ou,CCONJ,ou,CCONJ,True
5,gás,NOUN,gás,NOUN,True
6,hidrogênio,ADJ,hidrogênio,ADJ,True
7,como,ADP,como,ADP,True
8,combustível,NOUN,combustível,NOUN,True
9,",",PUNCT,",",PUNCT,True
10,este,PRON,este,PRON,True
11,após,SCONJ,após,SCONJ,True
12,ser,AUX,ser,AUX,True
13,submetido,VERB,submetido,VERB,True
14-15,ao,_,ao,_,True
14,a,ADP,a,ADP,True
15,o,DET,o,DET,True
16,processo,NOUN,processo,NOUN,True
17,de,ADP,de,ADP,True
18,reforma,NOUN,reforma,NOUN,True
19,para,ADP,para,ADP,True
20,produção,NOUN,produção,NOUN,True
21,de,ADP,de,ADP,True
22,gás,NOUN,gás,NOUN,True
23,rico,ADJ,rico,ADJ,True
24,em,ADP,em,ADP,True
25,hidrogênio,NOUN,hidrogênio,NOUN,True
26,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,As,DET,As,DET,True
2,células,NOUN,células,NOUN,True
3,de,ADP,de,ADP,True
4,carbonato,NOUN,carbonato,NOUN,True
5,fundido,VERB,fundido,VERB,True
6,(,PUNCT,(,PUNCT,True
7,MCFC,PROPN,MCFC,PROPN,True
8,),PUNCT,),PUNCT,True
9,utilizam,VERB,utilizam,VERB,True
10,como,ADP,como,ADP,True
11,eletrólito,NOUN,eletrólito,NOUN,True
12,uma,DET,uma,DET,True
13,mistura,NOUN,mistura,NOUN,True
14,de,ADP,de,ADP,True
15,carbonatos,NOUN,carbonatos,NOUN,True
16,alcalinos,ADJ,alcalinos,ADJ,True
17,fundidos,VERB,fundidos,VERB,True
18,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Operam,VERB,Operam,VERB,True
2,em,ADP,em,ADP,True
3,temperaturas,NOUN,temperaturas,NOUN,True
4,em,ADP,em,ADP,True
5,torno,NOUN,torno,NOUN,True
6,de,ADP,de,ADP,True
7,650oC,NUM,650oC,NUM,True
8,",",PUNCT,",",PUNCT,True
9,com,ADP,com,ADP,True
10,eficiência,NOUN,eficiência,NOUN,True
11,máxima,ADJ,máxima,ADJ,True
12,entre,ADP,entre,ADP,True
13,55,NUM,55,NUM,True
14,e,CCONJ,e,CCONJ,True
15,60%,NUM,60%,NUM,True
16,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,O,DET,O,DET,True
2,catodo,NOUN,catodo,NOUN,True
3,deve,VERB,deve,VERB,True
4,ser,AUX,ser,AUX,True
5,suprido,VERB,suprido,VERB,True
6,com,ADP,com,ADP,True
7,dióxido,NOUN,dióxido,NOUN,True
8,de,ADP,de,ADP,True
9,carbono,NOUN,carbono,NOUN,True
10,(,PUNCT,(,PUNCT,True
11,CO2,PROPN,CO2,PROPN,True
12,),PUNCT,),PUNCT,True
13,que,PRON,que,PRON,True
14,",",PUNCT,",",PUNCT,True
15,reagindo,VERB,reagindo,VERB,True
16,com,ADP,com,ADP,True
17,o,DET,o,DET,True
18,oxigênio,NOUN,oxigênio,NOUN,True
19,",",PUNCT,",",PUNCT,True
20,libera,VERB,libera,VERB,True
21,elétrons,NOUN,elétrons,NOUN,True
22,e,CCONJ,e,CCONJ,True
23,produz,VERB,produz,VERB,True
24,íons,NOUN,íons,NOUN,True
25,carbonato,ADJ,carbonato,NOUN,False
26,que,PRON,que,PRON,True
27,serão,AUX,serão,AUX,True
28,transportados,VERB,transportados,VERB,True
29,através,ADV,através,ADV,True
30-31,do,_,do,_,True
30,de,ADP,de,ADP,True
31,o,DET,o,DET,True
32,eletrólito,NOUN,eletrólito,NOUN,True
33,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,As,DET,As,DET,True
2,células,NOUN,células,NOUN,True
3,de,ADP,de,ADP,True
4,óxido,NOUN,óxido,NOUN,True
5,sólido,ADJ,sólido,ADJ,True
6,(,PUNCT,(,PUNCT,True
7,SOFC,PROPN,SOFC,PROPN,True
8,),PUNCT,),PUNCT,True
9,utilizam,VERB,utilizam,VERB,True
10,eletrólitos,NOUN,eletrólitos,NOUN,True
11,cerâmicos,ADJ,cerâmicos,ADJ,True
12-13,à,_,à,_,True
12,a,ADP,a,ADP,True
13,a,DET,a,DET,True
14,base,NOUN,base,NOUN,True
15,de,ADP,de,ADP,True
16,zircônio,NOUN,zircônio,NOUN,True
17,",",PUNCT,",",PUNCT,True
18,e,CCONJ,e,CCONJ,True
19,operam,VERB,operam,VERB,True
20,a,ADP,a,ADP,True
21,cerca,ADV,cerca,ADV,True
22,de,ADP,de,ADP,True
23,1000oC,NUM,1000oC,NUM,True
24,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Algumas,DET,Algumas,DET,True
2,unidades,NOUN,unidades,NOUN,True
3,experimentais,ADJ,experimentais,ADJ,True
4-5,encontram-se,_,encontram-se,_,True
4,encontram,VERB,encontram,VERB,True
5,se,PRON,se,PRON,True
6,em,ADP,em,ADP,True
7,operação,NOUN,operação,NOUN,True
8,",",PUNCT,",",PUNCT,True
9,e,CCONJ,e,CCONJ,True
10,a,DET,a,DET,True
11,expectativa,NOUN,expectativa,NOUN,True
12,é,AUX,é,AUX,True
13,de,SCONJ,de,ADP,False
14,que,SCONJ,que,SCONJ,True
15,dentro,ADV,dentro,ADV,True
16,de,ADP,de,ADP,True
17,algum,DET,algum,DET,True
18,tempo,NOUN,tempo,NOUN,True
19,seja,AUX,seja,AUX,True
20,possível,ADJ,possível,ADJ,True
21,a,DET,a,DET,True
22,construção,NOUN,construção,NOUN,True
23,modular,ADJ,modular,ADJ,True
24,de,ADP,de,ADP,True
25,centrais,NOUN,centrais,NOUN,True
26,de,ADP,de,ADP,True
27,grande,ADJ,grande,ADJ,True
28,porte,NOUN,porte,NOUN,True
29,com,ADP,com,ADP,True
30,densidade,NOUN,densidade,NOUN,True
31,energética,ADJ,energética,ADJ,True
32,de,ADP,de,ADP,True
33,cerca,ADV,cerca,ADV,True
34,de,ADP,de,ADP,True
35,1,NUM,1,NUM,True
36,MW/m3,NOUN,MW/m3,SYM,False
37,e,CCONJ,e,CCONJ,True
38,eficiência,NOUN,eficiência,NOUN,True
39,de,ADP,de,ADP,True
40,50,NUM,50,NUM,True
41,a,ADP,a,ADP,True
42,60%,NUM,60%,NUM,True
43,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,O,DET,O,DET,True
2,calor,NOUN,calor,NOUN,True
3,produzido,VERB,produzido,VERB,True
4,pode,VERB,pode,VERB,True
5,ser,AUX,ser,AUX,True
6,utilizado,VERB,utilizado,VERB,True
7,em,ADP,em,ADP,True
8,aplicações,NOUN,aplicações,NOUN,True
9,de,ADP,de,ADP,True
10,co-geração,NOUN,co-geração,NOUN,True
11,ou,CCONJ,ou,CCONJ,True
12,para,SCONJ,para,SCONJ,True
13,acionar,VERB,acionar,VERB,True
14,uma,DET,uma,DET,True
15,turbina,NOUN,turbina,NOUN,True
16,a,ADP,a,ADP,True
17,vapor,NOUN,vapor,NOUN,True
18,",",PUNCT,",",PUNCT,True
19,produzindo,VERB,produzindo,VERB,True
20,",",PUNCT,",",PUNCT,True
21,assim,ADV,assim,ADV,True
22,",",PUNCT,",",PUNCT,True
23,energia,NOUN,energia,NOUN,True
24,elétrica,ADJ,elétrica,ADJ,True
25,adicional,ADJ,adicional,ADJ,True
26-27,àquela,_,àquela,_,True
26,a,ADP,a,ADP,True
27,aquela,PRON,aquela,PRON,True
28,gerada,VERB,gerada,VERB,True
29,com,ADP,com,ADP,True
30,a,DET,a,DET,True
31,reação,NOUN,reação,NOUN,True
32,química,ADJ,química,ADJ,True
33-34,da,_,da,_,True
33,de,ADP,de,ADP,True
34,a,DET,a,DET,True
35,célula,NOUN,célula,NOUN,True
36,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Podem,VERB,Podem,VERB,True
2,ser,AUX,ser,AUX,True
3,usados,VERB,usados,VERB,True
4,diferentes,DET,diferentes,DET,True
5,tipos,NOUN,tipos,NOUN,True
6,de,ADP,de,ADP,True
7,combustível,NOUN,combustível,NOUN,True
8,",",PUNCT,",",PUNCT,True
9,desde,ADP,desde,ADP,True
10,o,DET,o,DET,True
11,hidrogênio,NOUN,hidrogênio,NOUN,True
12,puro,ADJ,puro,ADJ,True
13,até,ADP,até,ADP,True
14,o,DET,o,DET,True
15,metano,NOUN,metano,NOUN,True
16,ou,CCONJ,ou,CCONJ,True
17,o,DET,o,DET,True
18,monóxido,NOUN,monóxido,NOUN,True
19,de,ADP,de,ADP,True
20,carbono,NOUN,carbono,NOUN,True
21,",",PUNCT,",",PUNCT,True
22,e,CCONJ,e,CCONJ,True
23,a,DET,a,DET,True
24,natureza,NOUN,natureza,NOUN,True
25-26,das,_,das,_,True
25,de,ADP,de,ADP,True
26,as,DET,as,DET,True
27,emissões,NOUN,emissões,NOUN,True
28,varia,VERB,varia,VERB,True
29,conforme,ADP,conforme,SCONJ,False
30,a,DET,a,DET,True
31,mistura,NOUN,mistura,NOUN,True
32-33,do,_,do,_,True
32,de,ADP,de,ADP,True
33,o,DET,o,DET,True
34,combustível,NOUN,combustível,NOUN,True
35,.,PUNCT,.,PUNCT,True







i,w,x,w1,x1,DIF
1,Se,SCONJ,Se,SCONJ,True
2,produzido,VERB,produzido,VERB,True
3,a,ADP,a,ADP,True
4,partir,NOUN,partir,VERB,False
5,de,ADP,de,ADP,True
6,fontes,NOUN,fontes,NOUN,True
7,renováveis,ADJ,renováveis,ADJ,True
8,(,PUNCT,(,PUNCT,True
9,etanol,NOUN,etanol,NOUN,True
10,e,CCONJ,e,CCONJ,True
11,água,NOUN,água,NOUN,True
12,),PUNCT,),PUNCT,True
13,ou,CCONJ,ou,CCONJ,True
14,tecnologias,NOUN,tecnologias,NOUN,True
15,limpas,ADJ,limpas,ADJ,True
16,",",PUNCT,",",PUNCT,True
17,como,ADP,como,ADP,True
18,as,DET,as,DET,True
19,células,NOUN,células,NOUN,True
20,fotovoltaicas,ADJ,fotovoltaicas,ADJ,True
21,",",PUNCT,",",PUNCT,True
22,turbinas,NOUN,turbinas,NOUN,True
